object_id,line1,line2,source
FY1C_001,1 25730U 99025A   26125.18059819  .00002636  00000+0  11041-2 0  9994,2 25730  98.8639 198.1396 0010510  23.9231 336.2435 14.26870283391826,Fengyun-1C
FY1C_002,1 29733U 99025X   26124.61711778  .00001187  00000+0  20396-2 0  9990,2 29733  99.2091 163.9268 0565528 231.7505 286.6801 12.96724829909712,Fengyun-1C
FY1C_003,1 29734U 99025Y   26124.72095970  .00001979  00000+0  31907-2 0  9991,2 29734  99.1715  36.2763 0616183  43.7835 346.4050 12.91811153903940,Fengyun-1C
FY1C_004,1 29735U 99025Z   26124.19038905  .00000556  00000+0  10087-2 0  9994,2 29735  99.3877  20.4567 0696613 219.4877 135.3436 12.75580242892318,Fengyun-1C
FY1C_005,1 29736U 99025AA  26124.42942706  .00000720  00000+0  16632-2 0  9999,2 29736  99.4193 281.6117 0723013 251.9880 131.2273 12.57695800883381,Fengyun-1C
FY1C_006,1 29737U 99025AB  26124.60959755  .00000886  00000+0  18890-2 0  9993,2 29737  99.5822  61.2226 0692992 189.1626 350.2339 12.66060981886763,Fengyun-1C
FY1C_007,1 29738U 99025AC  26124.82291508  .00001921  00000+0  26715-2 0  9999,2 29738  99.4173 270.8950 0848033 343.5979  13.9144 12.61931606880217,Fengyun-1C
FY1C_008,1 29740U 99025AE  26124.23638662  .00001359  00000+0  36100-2 0  9997,2 29740  99.0464 300.2298 0973268 273.9614  75.0907 12.08551888846560,Fengyun-1C
FY1C_009,1 29741U 99025AF  26124.32770147  .00001648  00000+0  41900-2 0  9998,2 29741  99.1765 323.2388 1026266 143.9005  29.4218 12.01478884538955,Fengyun-1C
FY1C_010,1 29748U 99025AN  26124.65055878  .00028652  00000+0  18840+0 0  9996,2 29748  99.8579  23.5201 0723169 100.4803 267.8490 11.91462726804340,Fengyun-1C
FY1C_011,1 29750U 99025AQ  26124.35105572  .00000303  00000+0  19579-3 0  9990,2 29750  98.7360 154.4485 0034744 256.5634 115.6209 14.09779244990832,Fengyun-1C
